Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
2/5/2016 23:45,2/6/2016 7:35,84%,7:50,,Drank coffee,,0
2/6/2016 22:55,2/7/2016 7:35,91%,8:40,,Drank tea,,0
2/8/2016 0:44,2/8/2016 7:45,68%,7:01,,Drank coffee:Drank tea,,0
2/8/2016 22:43,2/9/2016 6:40,77%,7:56,,Drank coffee:Drank tea:Worked out,,0
2/9/2016 21:57,2/10/2016 5:31,66%,7:33,,Drank coffee:Worked out,,0
2/13/2016 23:41,2/14/2016 5:11,38%,5:30,,Drank coffee,,0
2/14/2016 22:07,2/15/2016 5:53,84%,7:45,,Drank coffee:Stressful day,,0
2/15/2016 22:07,2/16/2016 5:25,76%,7:18,,Drank coffee:Worked out,,0
2/16/2016 22:20,2/17/2016 5:32,70%,7:12,,Drank coffee:Worked out,,0
2/17/2016 21:33,2/18/2016 6:24,90%,8:51,,Drank coffee:Stressful day:Worked out,,0
2/18/2016 22:47,2/19/2016 6:26,77%,7:39,,Drank coffee:Drank tea:Worked out,,0
2/20/2016 23:12,2/21/2016 7:41,69%,8:28,,Drank coffee,,0
2/22/2016 22:04,2/23/2016 6:23,85%,8:19,,Drank coffee,,0
2/23/2016 22:18,2/24/2016 6:25,94%,8:06,,Drank coffee:Worked out,,0
2/24/2016 21:59,2/25/2016 5:43,88%,7:44,,Drank tea:Worked out,,0
2/26/2016 0:15,2/26/2016 6:35,68%,6:20,,Drank tea:Worked out,,0
2/27/2016 23:33,2/28/2016 7:50,92%,8:17,,Drank coffee,,0
2/28/2016 22:19,2/29/2016 5:45,64%,7:25,,Drank tea,,0
2/29/2016 21:55,3/1/2016 6:22,78%,8:26,,Drank tea:Worked out,,0
3/1/2016 23:22,3/2/2016 5:50,70%,6:28,,Drank tea:Worked out,,0
3/2/2016 22:15,3/3/2016 6:21,95%,8:06,,Drank coffee:Drank tea:Worked out,,0
3/3/2016 22:01,3/4/2016 6:17,90%,8:16,,Drank tea:Worked out,,0
3/5/2016 23:20,3/6/2016 7:31,98%,8:11,,Drank tea,,0
3/6/2016 23:08,3/7/2016 6:19,70%,7:11,,Drank coffee:Drank tea,,0
3/7/2016 22:50,3/8/2016 6:22,75%,7:32,,Drank tea:Worked out,,0
3/8/2016 21:40,3/9/2016 6:25,91%,8:44,,Drank tea:Worked out,,0
3/9/2016 22:40,3/10/2016 5:49,79%,7:09,,Drank tea,,0
3/10/2016 21:35,3/11/2016 5:34,92%,7:58,,Drank tea:Worked out,,0
3/12/2016 1:33,3/12/2016 7:50,69%,6:17,,Drank coffee:Worked out,,0
3/12/2016 23:44,3/13/2016 7:51,83%,7:07,,Drank tea,,0
3/13/2016 22:47,3/14/2016 5:40,82%,6:53,,Drank tea:Worked out,,0
3/14/2016 22:16,3/15/2016 5:46,79%,7:29,,Drank tea:Worked out,,0
3/15/2016 22:41,3/16/2016 6:25,85%,7:43,,Drank coffee:Drank tea:Worked out,,0
3/16/2016 22:25,3/17/2016 7:05,90%,8:39,,Drank coffee:Worked out,,0
3/17/2016 22:46,3/18/2016 7:08,98%,8:22,,Drank coffee:Drank tea,,0
3/18/2016 22:17,3/19/2016 7:47,87%,9:30,,Drank coffee,,0
3/20/2016 22:13,3/21/2016 7:26,80%,9:13,,Drank coffee,,0
3/21/2016 22:37,3/22/2016 7:32,80%,8:54,,Drank coffee,,0
3/22/2016 21:22,3/23/2016 6:19,80%,8:56,,Drank coffee:Drank tea,,0
3/23/2016 22:06,3/24/2016 5:20,65%,7:13,,Drank coffee:Drank tea:Worked out,,0
3/27/2016 23:28,3/28/2016 7:30,82%,8:01,,Drank coffee,,0
3/28/2016 23:32,3/29/2016 6:29,75%,6:56,,Drank coffee:Stressful day:Worked out,,0
3/29/2016 23:12,3/30/2016 6:25,66%,7:13,,Drank coffee:Worked out,,0
3/30/2016 22:58,3/31/2016 6:25,58%,7:26,,Drank coffee:Drank tea:Worked out,,0
3/31/2016 22:47,4/1/2016 6:30,89%,7:42,,Drank coffee:Drank tea:Worked out,,0
4/2/2016 21:20,4/3/2016 7:08,86%,9:47,,Drank coffee,,0
4/3/2016 21:44,4/4/2016 6:24,67%,8:39,,Drank coffee,,0
4/4/2016 21:23,4/5/2016 6:29,62%,9:05,,Drank coffee,,0
4/5/2016 21:13,4/6/2016 6:24,81%,9:11,,Drank coffee:Worked out,,0
4/6/2016 23:00,4/7/2016 5:55,73%,6:55,,Drank coffee:Drank tea:Worked out,,0
4/7/2016 21:48,4/8/2016 5:49,81%,8:00,,Ate late:Drank coffee:Drank tea:Worked out,,0
4/9/2016 0:51,4/9/2016 7:21,53%,6:30,,Drank coffee:Drank tea:Worked out,,0
4/9/2016 22:59,4/10/2016 7:59,94%,9:00,,Drank coffee:Drank tea:Worked out,,0
4/10/2016 22:04,4/11/2016 5:16,67%,7:12,,Drank tea,,0
4/11/2016 22:35,4/12/2016 5:54,82%,7:19,,Drank coffee:Drank tea:Stressful day:Worked out,,0
4/12/2016 22:18,4/13/2016 5:52,85%,7:33,,Drank coffee:Drank tea:Worked out,,0
4/13/2016 22:27,4/14/2016 6:13,77%,7:45,,Drank coffee:Drank tea:Worked out,,0
4/14/2016 21:43,4/15/2016 6:24,94%,8:41,,Drank coffee:Drank tea:Stressful day:Worked out,,0
4/15/2016 22:38,4/16/2016 7:25,81%,8:47,,Drank coffee:Drank tea,,0
4/17/2016 21:34,4/18/2016 6:26,75%,8:52,,Drank coffee:Drank tea,,0
4/19/2016 21:21,4/20/2016 6:20,79%,8:59,,Drank coffee:Drank tea:Worked out,,0
4/20/2016 21:25,4/21/2016 5:35,81%,8:09,,Ate late:Drank coffee:Drank tea:Worked out,,0
4/21/2016 21:54,4/22/2016 5:35,79%,7:40,,,,0
4/22/2016 5:37,4/22/2016 6:20,9%,0:42,,,,0
4/23/2016 0:46,4/23/2016 7:54,65%,7:07,,Drank coffee:Drank tea:Worked out,,0
4/24/2016 22:30,4/25/2016 6:14,81%,7:43,,Drank tea,,0
4/25/2016 22:07,4/26/2016 5:39,87%,7:31,,Ate late:Drank coffee:Drank tea:Worked out,,0
4/26/2016 22:48,4/27/2016 6:20,74%,7:32,,Drank coffee:Drank tea:Worked out,,0
4/27/2016 22:24,4/28/2016 6:25,92%,8:01,,Drank coffee:Drank tea:Worked out,,0
4/28/2016 22:23,4/29/2016 6:17,95%,7:53,,Drank coffee:Drank tea:Worked out,,0
4/29/2016 22:47,4/30/2016 5:57,81%,7:09,,Drank coffee:Drank tea:Worked out,,0
5/1/2016 21:27,5/2/2016 6:15,95%,8:47,,Drank coffee:Worked out,,0
5/2/2016 21:50,5/3/2016 6:20,85%,8:29,,Drank coffee:Worked out,,0
5/3/2016 22:19,5/4/2016 6:20,79%,8:01,,Drank coffee:Worked out,,0
5/4/2016 22:16,5/5/2016 6:30,83%,8:13,,Drank coffee:Drank tea:Worked out,,0
5/5/2016 22:20,5/6/2016 6:15,89%,7:54,,Ate late:Drank coffee,,0
5/6/2016 23:07,5/7/2016 7:08,87%,8:00,,Drank coffee:Drank tea:Stressful day:Worked out,,0
5/7/2016 23:20,5/8/2016 7:12,93%,7:51,,Drank coffee:Drank tea,,0
5/8/2016 23:44,5/9/2016 6:20,74%,6:36,,Drank coffee:Drank tea,,0
5/9/2016 22:10,5/10/2016 5:41,83%,7:30,,Drank coffee:Drank tea:Worked out,,0
5/10/2016 23:10,5/11/2016 5:30,74%,6:20,,Drank coffee:Drank tea:Worked out,,0
5/11/2016 22:43,5/12/2016 6:25,80%,7:41,,Drank coffee:Drank tea:Worked out,,0
5/12/2016 23:50,5/13/2016 6:50,83%,6:59,,Drank coffee:Drank tea:Worked out,,0
5/13/2016 23:08,5/14/2016 7:53,100%,8:45,,Drank coffee:Drank tea:Worked out,,0
5/15/2016 21:34,5/16/2016 6:07,81%,8:33,,Drank tea,,0
5/16/2016 21:34,5/17/2016 6:15,85%,8:40,,Drank coffee:Worked out,,0
5/17/2016 20:53,5/18/2016 6:10,83%,9:16,,Drank coffee:Worked out,,0
5/18/2016 22:26,5/19/2016 5:40,79%,7:14,,Drank coffee:Stressful day,,0
5/20/2016 0:00,5/20/2016 6:30,76%,6:30,,Drank coffee:Worked out,,0
5/20/2016 23:14,5/21/2016 7:34,91%,8:19,,Drank coffee:Worked out,,0
5/23/2016 22:34,5/24/2016 5:30,75%,6:55,,Drank coffee,,0
5/24/2016 22:00,5/25/2016 5:35,90%,7:35,,Drank coffee:Worked out,,0
5/25/2016 22:21,5/26/2016 6:31,88%,8:09,,Drank coffee:Worked out,,0
5/26/2016 22:08,5/27/2016 6:19,89%,8:11,,Drank coffee:Worked out,,0
5/28/2016 0:19,5/28/2016 7:15,72%,6:56,,Drank coffee:Worked out,,0
5/29/2016 22:04,5/30/2016 6:40,100%,8:36,,Drank coffee,,0
5/30/2016 22:07,5/31/2016 6:08,72%,8:00,,Drank coffee:Stressful day,,0
5/31/2016 23:02,6/1/2016 6:31,70%,7:28,,Drank coffee:Worked out,,0
6/1/2016 23:01,6/2/2016 5:48,67%,6:46,,Drank coffee:Worked out,,0
6/2/2016 22:51,6/3/2016 5:31,65%,6:39,,Drank coffee:Worked out,,0
6/5/2016 22:33,6/6/2016 5:51,71%,7:18,,Worked out,,0
6/6/2016 23:26,6/7/2016 5:31,70%,6:05,,Drank coffee:Worked out,,0
6/7/2016 22:32,6/8/2016 5:32,77%,6:59,,Drank coffee:Worked out,,0
6/8/2016 21:56,6/9/2016 6:16,76%,8:20,,Drank coffee:Worked out,,0
6/9/2016 22:07,6/10/2016 6:35,87%,8:27,,Ate late:Drank coffee:Worked out,,0
6/11/2016 22:42,6/12/2016 8:41,93%,9:58,,Drank tea,,0
6/12/2016 22:52,6/13/2016 6:32,77%,7:39,,Drank tea,,0
6/13/2016 22:03,6/14/2016 6:26,82%,8:22,,Drank tea:Worked out,,0
6/14/2016 22:32,6/15/2016 6:30,68%,7:58,,Drank coffee:Drank tea,,0
6/16/2016 0:46,6/16/2016 6:25,64%,5:38,,Drank coffee:Drank tea:Worked out,,0
6/16/2016 22:06,6/17/2016 6:01,83%,7:54,,Drank coffee:Drank tea:Worked out,,0
6/17/2016 23:28,6/18/2016 7:23,79%,7:54,,Drank coffee:Drank tea:Worked out,,0
6/19/2016 23:00,6/20/2016 6:00,74%,6:59,,Drank coffee,,0
6/20/2016 22:34,6/21/2016 5:50,83%,7:15,,Drank coffee:Worked out,,0
6/21/2016 22:11,6/22/2016 5:40,83%,7:29,,Drank coffee:Worked out,,0
6/22/2016 22:41,6/23/2016 6:22,82%,7:41,,Drank coffee:Worked out,,0
6/23/2016 22:32,6/24/2016 6:32,86%,8:00,,Drank coffee:Worked out,,0
6/26/2016 22:16,6/27/2016 6:30,64%,8:14,,Drank coffee,,0
6/27/2016 23:48,6/28/2016 6:47,62%,6:58,,Drank coffee:Stressful day:Worked out,,0
6/28/2016 23:10,6/29/2016 6:35,77%,7:25,,Drank coffee:Worked out,,0
6/29/2016 22:32,6/30/2016 5:55,83%,7:23,,Drank coffee:Stressful day:Worked out,,0
7/1/2016 23:32,7/2/2016 7:32,90%,8:00,,Drank coffee,,0
7/3/2016 21:49,7/4/2016 6:02,86%,8:12,,,,0
7/4/2016 21:39,7/5/2016 5:50,85%,8:11,,Drank coffee:Worked out,,0
7/5/2016 22:48,7/6/2016 6:05,75%,7:16,,Drank coffee:Stressful day:Worked out,,0
7/6/2016 22:13,7/7/2016 6:15,92%,8:02,,Drank coffee:Worked out,,0
7/7/2016 22:53,7/8/2016 7:05,96%,8:12,,Drank coffee:Worked out,,0
7/10/2016 22:18,7/11/2016 6:17,85%,7:59,,Drank coffee,,0
7/11/2016 21:24,7/12/2016 6:15,99%,8:50,,Drank coffee:Worked out,,0
7/12/2016 22:02,7/13/2016 6:15,96%,8:13,,Drank coffee:Worked out,,0
7/13/2016 23:13,7/14/2016 6:15,78%,7:02,,Drank coffee:Worked out,,0
7/14/2016 22:39,7/15/2016 6:15,84%,7:35,,Drank coffee:Stressful day:Worked out,,0
7/16/2016 0:32,7/16/2016 8:19,87%,7:47,,Drank coffee:Worked out,,0
7/16/2016 23:20,7/17/2016 7:31,98%,8:10,,Drank coffee:Worked out,,0
7/17/2016 22:23,7/18/2016 6:00,76%,7:37,,Drank coffee:Worked out,,0
7/18/2016 22:57,7/19/2016 6:05,77%,7:08,,Drank coffee:Stressful day:Worked out,,0
7/19/2016 22:36,7/20/2016 5:50,77%,7:14,,Drank coffee:Worked out,,0
7/20/2016 22:25,7/21/2016 5:56,82%,7:30,,Drank coffee:Worked out,,0
7/21/2016 23:07,7/22/2016 7:00,87%,7:52,,Drank coffee:Worked out,,0
7/22/2016 22:20,7/23/2016 7:56,99%,9:35,,Drank coffee,,0
7/23/2016 23:47,7/24/2016 7:56,74%,8:09,,Drank coffee,,0
7/24/2016 22:45,7/25/2016 6:14,81%,7:28,,Drank coffee:Worked out,,0
7/25/2016 21:54,7/26/2016 6:02,86%,8:07,,Drank coffee:Worked out,,0
7/26/2016 23:03,7/27/2016 6:11,84%,7:07,,Drank coffee:Worked out,,0
7/27/2016 22:49,7/28/2016 7:11,95%,8:21,,Drank coffee:Stressful day:Worked out,,0
7/28/2016 22:25,7/29/2016 3:35,35%,5:10,,Drank coffee,,0
8/16/2016 22:05,8/17/2016 5:50,96%,7:44,,Drank coffee:Drank tea:Stressful day,,0
8/17/2016 22:42,8/18/2016 6:15,78%,7:33,,Ate late:Drank coffee:Worked out,,7200
8/18/2016 21:58,8/19/2016 6:23,36%,8:24,,Drank coffee:Worked out,,3444
8/20/2016 22:04,8/21/2016 8:33,56%,10:28,,Drank coffee,,7901
8/21/2016 22:08,8/22/2016 6:20,52%,8:11,,Drank coffee:Drank tea,,3786
8/22/2016 22:13,8/23/2016 6:22,35%,8:09,,Drank coffee:Worked out,,2668
8/23/2016 23:08,8/24/2016 6:38,51%,7:30,,Drank coffee:Worked out,,4213
8/24/2016 21:51,8/25/2016 6:10,54%,8:19,,Drank coffee:Worked out,,2210
8/25/2016 22:06,8/26/2016 6:19,55%,8:13,,Drank coffee:Worked out,,3040
8/26/2016 23:49,8/27/2016 7:26,46%,7:37,,Drank coffee:Worked out,,3887
8/27/2016 23:52,8/28/2016 8:25,48%,8:33,,Drank coffee,,5631
8/28/2016 22:52,8/29/2016 6:40,36%,7:48,,Drank coffee,,10059
8/29/2016 22:10,8/30/2016 6:20,40%,8:09,,Drank coffee:Worked out,,3698
8/30/2016 22:21,8/31/2016 6:20,49%,7:59,,Drank coffee:Worked out,,4399
8/31/2016 22:33,9/1/2016 6:20,49%,7:47,,Drank coffee:Worked out,,4015
9/1/2016 23:08,9/2/2016 5:58,54%,6:50,,Drank coffee:Worked out,,4374
9/2/2016 22:38,9/3/2016 7:47,67%,9:09,,Drank coffee,,5038
9/4/2016 23:28,9/5/2016 8:00,61%,8:32,,Drank coffee,,827
9/5/2016 21:00,9/6/2016 6:20,41%,9:20,,Drank tea:Worked out,,2542
9/6/2016 22:11,9/7/2016 6:22,70%,8:10,,Drank tea:Worked out,,7370
9/7/2016 22:31,9/8/2016 6:21,69%,7:50,,Drank tea:Worked out,,5658
9/8/2016 22:28,9/9/2016 6:10,61%,7:41,,Drank tea:Worked out,,7107
9/10/2016 0:45,9/10/2016 7:06,58%,6:21,,Drank coffee:Worked out,,7048
9/10/2016 22:44,9/11/2016 6:01,33%,7:17,,Drank tea,,6925
9/11/2016 23:05,9/12/2016 6:20,60%,7:14,,Drank coffee,,1130
9/12/2016 22:46,9/13/2016 6:20,67%,7:34,,Drank tea:Worked out,,7025
9/13/2016 21:55,9/14/2016 6:07,59%,8:12,,Drank tea:Worked out,,5955
9/14/2016 22:26,9/15/2016 6:20,65%,7:53,,Drank tea:Worked out,,9243
9/17/2016 22:26,9/18/2016 8:22,70%,9:56,,Drank coffee,,908
9/18/2016 22:28,9/19/2016 6:24,57%,7:55,,Drank coffee:Worked out,,2191
9/19/2016 22:14,9/20/2016 6:22,60%,8:07,,Drank tea:Worked out,,11650
9/20/2016 22:39,9/21/2016 6:15,57%,7:36,,Drank tea:Worked out,,10842
9/21/2016 22:11,9/22/2016 6:11,60%,7:59,,Drank tea,,5765
9/22/2016 22:26,9/23/2016 6:55,70%,8:29,,Drank tea:Worked out,,8047
9/25/2016 22:53,9/26/2016 6:24,58%,7:31,,Drank coffee:Drank tea:Worked out,,359
9/26/2016 22:17,9/27/2016 6:20,55%,8:03,,Drank tea:Stressful day:Worked out,,8733
9/27/2016 22:22,9/28/2016 6:06,55%,7:44,,Drank tea:Worked out,,6963
9/28/2016 23:10,9/29/2016 6:20,60%,7:09,,Drank coffee:Drank tea:Worked out,,10392
9/29/2016 22:50,9/30/2016 6:20,53%,7:29,,Drank coffee:Worked out,,7230
10/1/2016 0:06,10/1/2016 8:27,67%,8:20,,Drank coffee:Drank tea:Worked out,,7255
10/1/2016 23:23,10/2/2016 7:50,55%,8:26,,Drank coffee,,4555
10/2/2016 23:29,10/3/2016 6:25,54%,6:56,,Drank coffee:Drank tea,,8954
10/3/2016 22:24,10/4/2016 6:03,62%,7:38,,Drank coffee:Drank tea:Worked out,,9726
10/4/2016 21:53,10/5/2016 6:21,66%,8:28,,Drank tea:Worked out,,8587
10/5/2016 22:33,10/6/2016 6:21,54%,7:48,,Drank tea:Worked out,,8612
10/7/2016 0:07,10/7/2016 6:40,52%,6:33,,Drank tea:Worked out,,8737
10/7/2016 23:18,10/8/2016 7:20,71%,8:02,,Drank coffee:Drank tea:Worked out,,10375
10/10/2016 22:38,10/11/2016 6:28,59%,7:49,,Drank coffee:Drank tea:Worked out,,21870
10/11/2016 22:28,10/12/2016 6:14,56%,7:45,,Drank tea:Worked out,,10106
10/12/2016 22:48,10/13/2016 6:05,65%,7:16,,Drank coffee:Worked out,,9308
10/13/2016 22:26,10/14/2016 6:30,61%,8:04,,Drank coffee:Worked out,,8406
10/15/2016 23:00,10/16/2016 7:31,71%,8:30,,Drank coffee,,779
10/16/2016 22:52,10/17/2016 6:20,50%,7:27,,Drank coffee:Drank tea,,3932
10/17/2016 22:53,10/18/2016 6:27,63%,7:34,,Drank coffee:Drank tea:Worked out,,10266
10/18/2016 22:34,10/19/2016 6:10,67%,7:35,,Drank coffee:Stressful day:Worked out,,10540
10/19/2016 22:13,10/20/2016 5:49,64%,7:35,,Drank coffee:Worked out,,8164
10/20/2016 22:14,10/21/2016 6:33,67%,8:19,,Drank coffee:Drank tea:Worked out,,7271
10/22/2016 1:38,10/22/2016 7:18,54%,5:39,,Drank coffee:Drank tea,,6044
10/23/2016 0:07,10/23/2016 8:47,81%,8:40,,Drank coffee,,7682
10/23/2016 22:21,10/24/2016 6:23,66%,8:01,,Drank coffee:Drank tea,,6719
10/24/2016 23:04,10/25/2016 6:25,65%,7:21,,Drank coffee:Drank tea:Worked out,,8273
10/25/2016 22:48,10/26/2016 6:35,69%,7:46,,Drank tea:Worked out,,6366
10/26/2016 22:55,10/27/2016 6:26,72%,7:30,,Drank coffee:Drank tea:Worked out,,9368
10/27/2016 23:03,10/28/2016 6:35,63%,7:32,,Drank coffee:Drank tea:Worked out,,7967
10/29/2016 0:16,10/29/2016 7:51,66%,7:34,,Drank coffee:Drank tea,,8641
10/30/2016 22:46,10/31/2016 6:10,68%,7:23,,Drank coffee:Worked out,,1283
11/1/2016 22:19,11/2/2016 5:57,68%,7:37,,Drank tea:Stressful day:Worked out,,4542
11/2/2016 22:52,11/3/2016 6:30,72%,7:38,,Drank coffee:Drank tea:Stressful day,,2870
11/4/2016 0:13,11/4/2016 6:15,52%,6:01,,Drank coffee:Drank tea:Stressful day,,10506
11/4/2016 22:49,11/5/2016 7:58,80%,9:08,,Drank coffee:Stressful day,,6716
11/6/2016 21:58,11/7/2016 5:47,65%,7:49,,Drank coffee,,6623
11/7/2016 22:16,11/8/2016 5:51,70%,7:35,,Drank tea:Worked out,,6608
11/8/2016 22:51,11/9/2016 5:48,62%,6:56,,Drank coffee:Drank tea:Worked out,,7119
11/9/2016 22:37,11/10/2016 5:55,65%,7:17,,Drank coffee:Drank tea:Worked out,,8981
11/10/2016 23:58,11/11/2016 7:19,56%,7:20,,Drank coffee:Drank tea:Worked out,,7385
11/11/2016 23:25,11/12/2016 7:16,74%,7:51,,Drank coffee:Drank tea,,737
11/15/2016 22:14,11/16/2016 7:35,72%,9:20,,Drank tea,,5274
11/16/2016 23:10,11/17/2016 7:07,70%,7:56,,Drank coffee,,2670
11/17/2016 23:15,11/18/2016 6:59,73%,7:44,,Drank tea,,5825
11/18/2016 23:37,11/19/2016 7:13,70%,7:36,,Drank coffee:Drank tea,,5971
11/19/2016 23:47,11/20/2016 7:53,81%,8:05,,Drank tea,,1540
11/20/2016 23:00,11/21/2016 7:02,80%,8:01,,Drank coffee:Drank tea,,847
11/21/2016 22:38,11/22/2016 5:40,68%,7:01,,Drank coffee:Drank tea,,6149
11/22/2016 21:26,11/23/2016 5:40,80%,8:13,,Drank tea:Worked out,,10585
11/23/2016 22:44,11/24/2016 6:10,73%,7:25,,Drank coffee:Drank tea:Worked out,,10248
11/24/2016 22:00,11/25/2016 6:39,88%,8:39,,Drank tea:Worked out,,6536
11/25/2016 23:09,11/26/2016 7:40,89%,8:30,,Drank coffee:Drank tea,,5628
11/27/2016 22:01,11/28/2016 6:18,75%,8:16,,Drank tea,,595
11/28/2016 22:35,11/29/2016 6:26,83%,7:50,,Drank tea:Worked out,,7499
11/29/2016 23:33,11/30/2016 6:31,71%,6:57,,Drank tea,,3196
11/30/2016 21:12,12/1/2016 5:13,89%,8:01,,Drank coffee:Drank tea,,3763
12/1/2016 5:14,12/1/2016 6:38,17%,1:24,,,,3763
12/1/2016 21:40,12/2/2016 5:11,71%,7:31,,Drank tea,,4904
12/4/2016 1:18,12/4/2016 9:20,89%,8:02,,Drank coffee:Drank tea,,3158
12/4/2016 21:45,12/5/2016 5:45,78%,8:00,,Drank tea,,4514
12/5/2016 21:44,12/6/2016 5:40,79%,7:55,,Drank tea:Worked out,,7137
12/6/2016 22:13,12/7/2016 5:46,72%,7:32,,Drank tea:Worked out,,7709
12/7/2016 22:46,12/8/2016 6:19,82%,7:32,,Drank coffee:Drank tea:Worked out,,10521
12/8/2016 23:32,12/9/2016 6:47,69%,7:15,,Drank coffee:Drank tea:Worked out,,9338
12/9/2016 22:48,12/10/2016 8:11,79%,9:23,,Drank tea,,4629
12/11/2016 1:07,12/11/2016 8:27,82%,7:19,,Drank coffee:Worked out,,5776
12/11/2016 22:14,12/12/2016 6:16,85%,8:01,,Drank tea,,168
12/12/2016 22:56,12/13/2016 6:35,81%,7:38,,Drank coffee:Drank tea,,6964
12/13/2016 22:02,12/14/2016 6:05,83%,8:02,,Drank coffee:Drank tea:Worked out,,3448
12/14/2016 21:57,12/15/2016 6:18,74%,8:20,,Drank tea,,4114
12/15/2016 21:29,12/16/2016 5:00,75%,7:31,,Drank tea,,7112
12/18/2016 22:35,12/19/2016 5:47,78%,7:11,,Drank coffee:Drank tea,,3391
12/19/2016 21:49,12/20/2016 6:35,96%,8:46,,Drank tea,,2335
12/20/2016 23:48,12/21/2016 7:09,84%,7:20,,Drank tea,,7293
12/21/2016 23:56,12/22/2016 7:30,86%,7:33,,Drank coffee:Drank tea,,8488
12/22/2016 23:07,12/23/2016 7:07,74%,8:00,,Drank coffee:Drank tea:Stressful day,,5701
12/27/2016 23:17,12/28/2016 7:22,69%,8:05,,Drank coffee:Drank tea,,4509
12/30/2016 23:25,12/31/2016 8:26,92%,9:00,,Drank coffee:Drank tea,,3868
1/2/2017 22:35,1/3/2017 5:10,73%,6:34,,Drank coffee:Drank tea,,5216
1/3/2017 5:11,1/3/2017 6:30,17%,1:19,,,,5216
1/3/2017 21:47,1/4/2017 5:57,87%,8:09,,Drank tea,,3669
1/4/2017 22:40,1/5/2017 6:10,87%,7:29,,Drank coffee:Drank tea:Worked out,,10856
1/5/2017 22:39,1/6/2017 6:42,93%,8:02,,Drank tea:Worked out,,7787
1/6/2017 23:14,1/7/2017 8:43,90%,9:29,,Drank coffee:Drank tea,,10344
1/8/2017 0:34,1/8/2017 7:56,79%,7:22,,Drank tea,,3094
1/8/2017 22:07,1/9/2017 6:23,84%,8:16,,Drank tea,,202
1/9/2017 22:42,1/10/2017 6:40,65%,7:57,,Drank coffee:Drank tea,,7122
1/10/2017 22:20,1/11/2017 6:14,84%,7:54,,Drank coffee:Drank tea,,1734
1/11/2017 22:14,1/12/2017 5:22,73%,7:07,,Drank coffee:Drank tea,,2562
1/12/2017 22:13,1/13/2017 5:31,64%,7:17,,Ate late:Drank coffee:Drank tea,,8076
1/13/2017 23:27,1/14/2017 7:22,89%,7:54,,Drank tea:Worked out,,12802
1/15/2017 23:25,1/16/2017 6:58,74%,7:32,,Drank coffee:Drank tea:Worked out,,12258
1/16/2017 21:58,1/17/2017 5:11,71%,7:12,,Drank tea,,4540
1/17/2017 5:12,1/17/2017 7:20,24%,2:08,,,,4540
1/17/2017 22:23,1/18/2017 5:01,57%,6:37,,Drank tea,,173
1/18/2017 22:22,1/19/2017 6:31,76%,8:09,,Drank tea,,6368
1/19/2017 22:14,1/20/2017 6:30,92%,8:15,,Drank coffee:Drank tea,,1740
1/20/2017 23:07,1/21/2017 7:45,78%,8:38,,Drank tea,,5056
1/21/2017 23:12,1/22/2017 7:42,96%,8:29,,Drank tea,,4223
1/22/2017 22:03,1/23/2017 6:25,64%,8:22,,Drank tea,,4336
